,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
0,1.0,490.0,78.4,0.0,0.0,568.4,568.4
1,1.0,345.0,55.2,0.0,0.0,400.2,400.2
2,1.0,3447.41,551.59,0.0,0.0,3999.0,3999.0
3,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6
4,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0,599.0
8,1.0,0.0,0.0,0.0,0.0,0.0,335.37
9,1.0,0.0,0.0,0.0,0.0,0.0,495.64
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,360.0,57.6,0.0,0.0,417.6,417.6
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,148.36,23.74,0.0,0.0,172.10000000000002,172.1
24,1.0,2397.5,383.6,0.0,0.0,2781.1,2781.1
25,1.0,2132.17,395.17,0.0,0.0,2527.34,2527.34
26,1.0,463.55,85.46,0.0,0.0,549.01,549.01
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0,7517.26,1202.76,0.0,0.0,8720.02,8720.02
29,1.0,338.0,54.08,0.0,0.0,392.08,392.08
30,1.0,0.0,0.0,0.0,0.0,0.0,605.65
31,1.0,0.0,0.0,0.0,0.0,0.0,198.0
32,1.0,8945.78,1431.32,0.0,0.0,10377.1,10377.1
33,1.0,343.97,55.03,0.0,0.0,399.0,399.0
34,1.0,38.8,6.21,0.0,0.0,45.01,45.01
35,1.0,1700.0,272.0,0.0,0.0,1972.0,1972.0
36,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,19.9087,0.0,0.0,0.0,0.0,0.0,0.0
38,1.0,3940.0,630.4,0.0,0.0,4570.4,4570.4
39,1.0,16170.0,2587.2,0.0,0.0,18757.2,18757.2
40,1.0,0.0,0.0,0.0,0.0,0.0,0.0
