,TC,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT,Tipo
0,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6,
1,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3,
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,1.0,360.0,57.6,0.0,0.0,417.6,417.6,
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,1.0,78.0,0.0,0.0,0.0,78.0,78.0,
10,1.0,0.0,0.0,0.0,0.0,0.0,3644.2,
11,1.0,0.0,0.0,0.0,0.0,0.0,399.0,
12,1.0,0.0,0.0,0.0,0.0,0.0,-389.0,
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,20.4672,0.0,0.0,0.0,0.0,0.0,0.0,
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,1.0,5349.66,855.95,534.97,570.63,5100.009999999999,5100.01,
17,1.0,4543.1,726.9,0.0,0.0,5270.0,5270.0,
18,1.0,7325.0,1172.0,0.0,0.0,8497.0,8497.0,
19,1.0,2577.66,412.43,0.0,0.0,2990.0899999999997,2990.09,
20,1.0,25776.61,0.0,0.0,0.0,25776.61,25776.61,
21,1.0,5581.52,893.04,0.0,0.0,6474.56,6474.56,
22,1.0,10300.0,48.0,0.0,0.0,10348.0,10348.0,
23,1.0,13209.9,2113.58,0.0,0.0,15323.48,15323.48,
24,1.0,245.0,0.0,0.0,0.0,245.0,245.0,
25,1.0,9030.0,1444.8,0.0,0.0,10474.8,10474.8,
26,1.0,284.0,45.44,0.0,0.0,329.44,329.44,
27,1.0,1291.98,206.72,0.0,0.0,1498.7,1498.7,
28,1.0,26000.0,4160.0,2600.0,2773.34,24786.66,24786.66,
29,1.0,360.0,57.6,0.0,0.0,417.6,417.6,
30,20.3977,6527.264,1044.3622400000002,0.0,0.0,7571.6262400000005,371.2,
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,1.0,848.0,135.68,0.0,0.0,983.6800000000001,983.68,
33,1.0,1350.0,216.0,0.0,0.0,1566.0,1566.0,
34,1.0,10775.86,1724.14,0.0,0.0,12500.0,12500.0,
35,1.0,272.04,43.53,0.0,0.0,315.57000000000005,315.57,
36,1.0,1781.1200000000001,284.98,0.0,0.0,2066.1000000000004,2066.1,
37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,1.0,1154.68,179.6,0.0,0.0,1334.28,1334.28,
39,1.0,2201.5,352.24,0.0,0.0,2553.74,2553.74,
40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,1.0,68.1,10.9,0.0,0.0,79.0,79.0,
42,1.0,1434.0,0.0,0.0,0.0,1434.0,1434.0,
43,1.0,1080.0,172.8,0.0,0.0,1252.8,1252.8,
44,1.0,3000.0,480.0,0.0,0.0,3480.0,3480.0,
45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,1.0,156.0,0.0,0.0,0.0,156.0,156.0,
48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,1.0,4527.5,724.4,0.0,0.0,5251.9,5251.9,
50,1.0,21039.07,3366.25,0.0,0.0,24405.32,24405.32,
51,1.0,47991.23,7678.6,0.0,0.0,55669.83,55669.83,
52,1.0,7200.0,1152.0,0.0,0.0,8352.0,8352.0,
53,1.0,6055.7,968.91,0.0,0.0,7024.61,7024.61,
54,1.0,8719.92,1395.19,0.0,0.0,10115.11,10115.11,
55,1.0,26000.0,4160.0,2600.0,2773.34,24786.66,24786.66,
56,1.0,-4585.5,-733.68,0.0,0.0,-5319.18,-5319.18,
57,1.0,5650.0,904.0,0.0,0.0,6554.0,6554.0,
58,1.0,5565.0,890.4,0.0,0.0,6455.4,6455.4,
59,1.0,441.0,70.56,0.0,0.0,511.56,511.56,
60,1.0,1087.16,173.95,0.0,0.0,1261.1100000000001,1261.11,
61,1.0,333.0,53.28,0.0,0.0,386.28,386.28,
62,1.0,10871.6,0.0,0.0,0.0,10871.6,10871.6,
63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,1.0,3894.49,623.11,0.0,0.0,4517.599999999999,4517.6,
65,1.0,30000.0,4800.0,0.0,0.0,34800.0,34800.0,
66,1.0,50.0,8.0,0.0,0.0,58.0,58.0,
67,1.0,343.97,55.03,0.0,0.0,399.0,399.0,
68,1.0,-193.19,-30.91,0.0,0.0,-224.1,-224.1,
69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
70,1.0,18190.0,2910.4,0.0,0.0,21100.4,21100.4,
71,1.0,13737.0,2197.92,0.0,0.0,15934.92,15934.92,
72,1.0,226.81,36.29,0.0,0.0,263.1,263.1,
73,1.0,7146.38,1143.42,0.0,0.0,8289.8,8289.8,
74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
75,1.0,2000.0,320.0,0.0,0.0,2320.0,2320.0,
76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
77,1.0,200.0,32.0,0.0,0.0,232.0,232.0,
78,1.0,2160.0,345.6,0.0,0.0,2505.6,2505.6,
79,1.0,30000.0,4800.0,3000.0,3200.0,28600.0,28600.0,
80,1.0,78.0,0.0,0.0,0.0,78.0,78.0,
81,1.0,2771.37,443.42,0.0,0.0,3214.79,3214.79,
82,1.0,12685.26,2029.64,0.0,0.0,14714.9,14714.9,
83,1.0,18500.0,2960.0,0.0,0.0,21460.0,21460.0,
84,1.0,1415.88,226.54,0.0,0.0,1642.42,1642.42,
85,1.0,6324.0,1011.84,0.0,0.0,7335.84,7335.84,
86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
88,1.0,-178.0,-28.48,0.0,0.0,-206.48,-206.48,
89,1.0,4140.0,662.4,0.0,0.0,4802.4,4802.4,
90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
92,1.0,500.0,80.0,0.0,0.0,580.0,580.0,
93,1.0,3390.0,542.4,0.0,0.0,3932.4,3932.4,
94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,1.0,0.01,0.0,0.0,0.0,0.01,0.01,
96,1.0,84.48,13.52,0.0,0.0,98.0,98.0,
97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
99,1.0,1000.0,160.0,0.0,0.0,1160.0,1160.0,
100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
101,1.0,199.8,31.97,0.0,0.0,231.77,231.77,
102,1.0,-7440.0,-1190.4,0.0,0.0,-8630.4,-8630.4,
103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
104,1.0,10843.0,1734.88,0.0,0.0,12577.880000000001,12577.88,
105,1.0,937.45,149.99,0.0,0.0,1087.44,1087.44,
106,1.0,68965.52,11034.48,0.0,0.0,80000.0,80000.0,
107,1.0,9374.49,0.0,0.0,0.0,9374.49,9374.49,
108,1.0,1674.4,267.9,0.0,0.0,1942.3000000000002,1942.3,
109,1.0,43043.78,6887.0,0.0,0.0,49930.78,49930.78,
110,1.0,332.89,53.26,0.0,0.0,386.15,386.15,
111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
112,1.0,1806.25,289.0,0.0,0.0,2095.25,2095.25,
113,1.0,0.0,0.0,0.0,0.0,0.0,627.0,
114,1.0,25000.0,4000.0,0.0,0.0,29000.0,29000.0,
115,1.0,1131.57,181.05,0.0,0.0,1312.62,1312.62,
116,1.0,27250.65,4360.1,0.0,0.0,31610.75,31610.75,
117,1.0,320.0,0.0,0.0,0.0,320.0,320.0,
118,1.0,4233.83,677.41,0.0,0.0,4911.24,4911.24,
119,1.0,4310.35,689.66,0.0,0.0,5000.01,5000.01,
120,1.0,12073.79,1931.81,0.0,0.0,14005.6,14005.6,
121,1.0,10736.7,1717.87,0.0,0.0,12454.57,12454.57,
122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
123,1.0,1236.9299999999998,197.91,0.0,0.0,1434.84,1434.84,
124,1.0,156.0,0.0,0.0,0.0,156.0,156.0,
125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
127,1.0,1035.83,161.09,0.0,0.0,1196.9199999999998,1196.92,
128,1.0,1480.0,236.8,0.0,0.0,1716.8,1716.8,
129,20.4598,6137.9400000000005,982.0704000000001,0.0,0.0,7120.010400000001,348.0,
130,1.0,3500.0,560.0,0.0,0.0,4060.0,4060.0,
131,1.0,2663.0,426.08,0.0,0.0,3089.08,3089.08,
132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
133,1.0,2250.0,360.0,0.0,0.0,2610.0,2610.0,
134,1.0,176.13,28.17,0.0,0.0,204.3,204.3,
135,1.0,0.0,0.0,0.0,0.0,0.0,1987.0,
136,1.0,896.2,0.0,0.0,0.0,896.2,896.2,
137,1.0,4280.0,0.0,0.0,0.0,4280.0,4280.0,
138,1.0,2295.0,367.2,0.0,0.0,2662.2,2662.2,
139,1.0,7862.25,1257.96,0.0,0.0,9120.21,9120.21,
140,1.0,990.54,158.49,0.0,0.0,1149.03,1149.03,
141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
142,1.0,9905.47,0.0,0.0,0.0,9905.47,9905.47,
143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
145,1.0,157.76,25.24,0.0,0.0,183.0,183.0,
146,1.0,157.76,25.24,0.0,0.0,183.0,183.0,
147,1.0,0.01,0.0,0.0,0.0,0.01,0.01,
148,1.0,193.19,30.91,0.0,0.0,224.1,224.1,
149,1.0,1739.0,278.24,0.0,0.0,2017.24,2017.24,
150,1.0,428.57,68.57,0.0,0.0,497.14,510.0,
151,1.0,10040.0,1606.4,0.0,0.0,11646.4,11646.4,
152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
157,1.0,531.84,85.09,0.0,0.0,616.9300000000001,616.93,
158,1.0,6700.0,0.0,0.0,0.0,6700.0,6700.0,
159,1.0,3900.0,624.0,0.0,0.0,4524.0,4524.0,
160,1.0,5300.0,848.0,0.0,0.0,6148.0,6148.0,
161,1.0,3084.9,493.58,0.0,0.0,3578.48,3578.48,
162,1.0,7208.0,1153.28,0.0,0.0,8361.28,8361.28,
163,1.0,4301.05,688.17,0.0,0.0,4989.22,4989.22,
164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
165,1.0,1706.9,273.1,0.0,0.0,1980.0,1980.0,
166,1.0,1676.72,268.28,0.0,0.0,1945.0,1945.0,
167,1.0,428.57,68.57,0.0,0.0,497.14,510.0,
168,1.0,4000.0,640.0,0.0,0.0,4640.0,4640.0,
169,1.0,969.83,155.17,0.0,0.0,1125.0,1125.0,
170,1.0,2155.17,344.83,0.0,0.0,2500.0,2500.0,
171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
174,1.0,156.0,0.0,0.0,0.0,156.0,156.0,
175,1.0,137.93,22.07,0.0,0.0,160.0,160.0,
176,1.0,159.48,25.52,0.0,0.0,185.0,185.0,
177,1.0,1583.62,253.38,0.0,0.0,1837.0,1837.0,
178,1.0,1432.76,229.24,0.0,0.0,1662.0,1662.0,
179,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
180,1.0,428.57,68.57,0.0,0.0,497.14,510.0,
181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
183,1.0,50486.44,0.0,0.0,0.0,50486.44,50486.44,
184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
185,1.0,181.03,28.97,0.0,0.0,210.0,210.0,
186,1.0,1131.57,181.05,0.0,0.0,1312.62,1312.62,
187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
188,1.0,2991.43,478.77,0.0,0.0,3470.2,3470.2,
189,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
190,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
192,1.0,874.04,136.0,0.0,0.0,1010.04,1010.04,
193,1.0,3222.46,0.0,0.0,0.0,3222.46,3222.46,
194,1.0,30000.0,4800.0,3000.0,3200.0,28600.0,28600.0,
195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
196,1.0,21165.5,401.31,0.0,0.0,21566.81,21566.81,
197,1.0,9129.62,0.0,0.0,0.0,9129.62,9129.62,
198,1.0,17455.25,2792.84,0.0,0.0,20248.09,20248.09,
199,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6,
200,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3,
201,1.0,980.0,156.8,0.0,0.0,1136.8,1136.8,
202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
203,1.0,327.73,52.44,0.0,0.0,380.17,390.0,
204,1.0,327.73,52.44,0.0,0.0,380.17,390.0,
205,1.0,3627.87,580.46,0.0,0.0,4208.33,4208.33,
206,1.0,289.0,0.0,0.0,0.0,289.0,289.0,
207,1.0,525.0,84.0,0.0,0.0,609.0,609.0,
208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
209,1.0,2400.0,0.0,0.0,0.0,2400.0,2400.0,
210,1.0,1107.43,172.79,0.0,0.0,1280.22,1280.22,
211,1.0,3500.0,560.0,0.0,0.0,4060.0,4060.0,
212,1.0,4543.1,726.9,0.0,0.0,5270.0,5270.0,
213,1.0,10000.0,1600.0,0.0,0.0,11600.0,11600.0,
214,1.0,7319.16,1171.07,0.0,0.0,8490.23,8490.23,
215,1.0,109.48,17.52,0.0,0.0,127.0,127.0,
216,1.0,212.07,33.93,0.0,0.0,246.0,246.0,
217,1.0,256.9,41.1,0.0,0.0,298.0,298.0,
218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
219,1.0,998.4,159.74,0.0,0.0,1158.1399999999999,1158.14,
220,1.0,148.28,23.72,0.0,0.0,172.0,172.0,
221,1.0,67.58999999999999,4.41,0.0,0.0,71.99999999999999,72.0,
222,1.0,948.27,151.72,0.0,0.0,1099.99,1099.99,
223,1.0,1042.24,166.76,0.0,0.0,1209.0,1209.0,
224,1.0,25.86,4.14,0.0,0.0,30.0,30.0,
225,1.0,296.56,47.44,0.0,0.0,344.0,344.0,
226,1.0,51327.23,0.0,0.0,0.0,51327.23,51327.23,
227,1.0,97.41,15.59,0.0,0.0,113.0,113.0,
228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
229,1.0,451.72,72.28,0.0,0.0,524.0,524.0,
230,1.0,705.61,109.99,0.0,0.0,815.6,815.6,
231,1.0,577.6,92.4,0.0,0.0,670.0,670.0,
232,1.0,1553.68,248.59,0.0,0.0,1802.27,1802.27,
233,1.0,6564.06,1050.26,0.0,0.0,7614.320000000001,7614.32,
234,1.0,258.63,41.38,0.0,0.0,300.01,300.01,
235,1.0,8954.38,1432.7,0.0,0.0,10387.08,10387.08,
236,1.0,1291.98,206.72,0.0,0.0,1498.7,1498.7,
237,1.0,21609.75,0.0,0.0,0.0,21609.75,21609.75,
238,1.0,4127.5,660.4,0.0,0.0,4787.9,4787.9,
239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
240,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
242,20.6134,0.0,0.0,0.0,0.0,0.0,0.0,
243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
244,1.0,531.9,85.1,0.0,0.0,617.0,617.0,
245,1.0,531.9,85.1,0.0,0.0,617.0,617.0,
246,1.0,2500.0,400.0,0.0,0.0,2900.0,2900.0,
247,1.0,517.24,82.76,0.0,0.0,600.0,600.0,
248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
250,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
252,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
260,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
262,1.0,6057.5,969.2,0.0,0.0,7026.7,7026.7,
263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
264,1.0,1717.25,0.0,0.0,0.0,1717.25,1717.25,
265,1.0,2160.97,345.76,0.0,0.0,2506.7299999999996,2506.73,
266,1.0,378.0,60.48,0.0,0.0,438.48,438.48,
267,1.0,3158.95,505.44,0.0,0.0,3664.39,3664.39,
268,1.0,-193.19,-30.91,0.0,0.0,-224.1,-224.1,
269,1.0,1619.8,259.17,0.0,0.0,1878.97,1878.97,
270,1.0,3579.44,572.71,0.0,0.0,4152.15,4152.15,
271,1.0,4214.96,674.39,0.0,0.0,4889.35,4889.35,
272,1.0,78.0,0.0,0.0,0.0,78.0,78.0,
273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
274,1.0,136.2,21.79,0.0,0.0,157.98999999999998,157.99,
275,1.0,260.43,41.67,0.0,0.0,302.1,302.1,
276,1.0,1600.0,0.0,0.0,0.0,1600.0,1600.0,
277,1.0,10000.0,1600.0,0.0,0.0,11600.0,11600.0,
278,1.0,494.5,79.12,0.0,0.0,573.62,573.62,
279,1.0,3350.0,536.0,0.0,0.0,3886.0,3886.0,
280,1.0,2072.35,331.58,0.0,0.0,2403.93,2403.93,
281,1.0,284.0,45.44,0.0,0.0,329.44,329.44,
282,1.0,333.0,53.28,0.0,0.0,386.28,386.28,
283,1.0,20723.53,0.0,0.0,0.0,20723.53,20723.53,
284,1.0,10300.0,48.0,0.0,0.0,10348.0,10348.0,
285,1.0,2000.0,320.0,0.0,0.0,2320.0,2320.0,
286,1.0,1275.0,204.0,0.0,0.0,1479.0,1479.0,
287,1.0,400.0,64.0,0.0,0.0,464.0,464.0,
288,1.0,10288.4,1646.14,0.0,0.0,11934.539999999999,11934.54,
289,1.0,14245.0,2279.2,0.0,0.0,16524.2,16524.2,
290,1.0,1402.5,224.4,0.0,0.0,1626.9,1626.9,
291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
293,1.0,5349.66,855.95,534.97,570.63,5100.009999999999,5100.01,
294,1.0,589.0,94.24,0.0,0.0,683.24,683.24,
295,1.0,2354.32,376.69,0.0,9.14,2721.8700000000003,2721.87,
296,1.0,8620.69,1379.31,0.0,0.0,10000.0,10000.0,
297,1.0,5229.31,836.69,0.0,0.0,6066.0,6066.0,
298,1.0,4975.0,796.0,0.0,0.0,5771.0,5771.0,
299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
300,1.0,2940.0,470.4,0.0,0.0,3410.4,3410.4,
301,1.0,4290.0,686.4,0.0,0.0,4976.4,4976.4,
302,1.0,1739.0,278.24,0.0,0.0,2017.24,2017.24,
303,1.0,900.0,144.0,0.0,0.0,1044.0,1044.0,
304,1.0,481.81,77.09,0.0,0.0,558.9,558.9,
305,1.0,41513.46,6642.15,0.0,0.0,48155.61,48155.61,
306,1.0,260.0,0.0,0.0,0.0,260.0,260.0,
307,1.0,10001.0,1600.16,0.0,0.0,11601.16,11601.16,
308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
309,1.0,13779.5,2204.73,0.0,0.0,15984.23,15984.23,
310,1.0,193.97,31.04,0.0,0.0,225.01,225.01,
311,1.0,5215.55,772.67,0.0,0.0,5988.22,5988.22,
312,1.0,343.97,55.03,0.0,0.0,399.0,399.0,
313,1.0,24659.64,3945.54,0.0,0.0,28605.18,28605.18,
314,1.0,36.43,5.83,0.0,0.0,42.26,42.26,
315,1.0,8400.9,1344.14,0.0,0.0,9745.039999999999,9745.04,
316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
317,1.0,0.0,0.0,0.0,0.0,0.0,3488.2,
318,1.0,12337.5,1974.0,0.0,0.0,14311.5,14311.5,
319,1.0,30000.0,4800.0,3000.0,3200.0,28600.0,28600.0,
320,1.0,1573.43,251.75,157.34,167.83,1500.0100000000002,1500.01,
321,1.0,3062.69,490.03,0.0,0.0,3552.7200000000003,3552.72,
322,1.0,7299.08,1167.85,0.0,0.0,8466.93,8466.93,
323,1.0,5200.0,832.0,0.0,0.0,6032.0,6032.0,
324,1.0,2374.29,379.89,0.0,0.0,2754.18,2754.18,
325,1.0,20468.02,0.0,0.0,0.0,20468.02,20468.02,
326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
327,1.0,12685.26,2029.64,0.0,0.0,14714.9,14714.9,
328,1.0,3050.7,488.11,0.0,0.0,3538.81,3538.81,
329,1.0,0.0,0.0,0.0,0.0,0.0,1145.45,
330,1.0,12880.11,2060.81,0.0,0.0,14940.92,14940.92,
331,1.0,6324.0,1011.84,0.0,0.0,7335.84,7335.84,
332,1.0,2200.0,352.0,0.0,0.0,2552.0,2552.0,
333,1.0,188.75,30.2,0.0,0.0,218.95,218.95,
334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
335,1.0,2100.0,336.0,0.0,0.0,2436.0,2436.0,
336,1.0,309.0,49.44,0.0,0.0,358.44,358.44,
337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
339,1.0,12738.27,2038.12,0.0,0.0,14776.39,14776.39,
340,1.0,48.28,7.72,0.0,0.0,56.0,56.0,
341,1.0,949.38,151.9,0.0,0.0,1101.28,1101.28,
342,1.0,252.0,40.32,0.0,0.0,292.32,292.32,
343,1.0,960.0,0.0,0.0,0.0,960.0,960.0,
344,1.0,306.0,0.0,0.0,0.0,306.0,306.0,
345,1.0,109.31,17.49,0.0,0.0,126.8,126.8,
346,1.0,5192.0,830.72,0.0,0.0,6022.72,6022.72,
347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
349,1.0,2739.4799999999996,438.29,0.0,0.0,3177.7699999999995,3177.77,
